content_id,title,slug,pillar,persona,platform,content_type,canonical_parent_id,source_material_path,status,created_date,publish_date,refresh_due_date,last_reviewed,related_page_slug,related_video_id,lead_magnet,cta_keyword,performance_notes,dedupe_cluster,blocked_reason
LIT-001,"5 Bed 3100 Sq Ft House Tour in Lake Pointe Texas",lake-pointe-tour,Property Tours,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,2026-07-01,2026-04-12,/lake-pointe/,,Relocation Guide,TOUR,,neighborhood-tour,
LIT-002,"Canyon Ridge Temple Texas Modern Homes Under 300K",canyon-ridge-tour,Property Tours,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,2026-07-01,2026-04-12,,,Relocation Guide,TOUR,,neighborhood-tour,
LIT-003,"Moving to Temple South Pointe Neighborhood Homes and Prices",south-pointe-tour,Property Tours,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,2026-07-01,2026-04-12,,,Relocation Guide,TOUR,,neighborhood-tour,
LIT-004,"The Groves Lakewood Ranch Temple Texas Best Belton ISD Neighborhoods",groves-lakewood-ranch,Property Tours,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,2026-07-01,2026-04-12,,,Relocation Guide,TOUR,,neighborhood-tour,
LIT-005,"150K Flip Opportunity in Temple TX Deal of the Week 3901 Lark Dr",3901-lark-dr-dotw,Market Data,Investor,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,,2026-04-12,,,,DEALS,,deal-breakdown,
LIT-006,"Baylor Scott and White Temple TX Where Doctors and Nurses Actually Live",bsw-where-doctors-live,Relocation,BSW Medical,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,2026-07-01,2026-04-12,/neighborhoods-near-bsw-by-commute/,,BSW Relocation Guide,BSW,,bsw-content,
LIT-007,"Market Shifting Fast February Update Temple TX",feb-2026-market-update,Market Data,General,youtube,video,,data/living-in-temple-catalog.txt,REFRESH_DUE,2026-02-01,2026-02-01,2026-05-01,2026-04-12,/investing/temple-tx-market-report/,,,,,market-update,
LIT-008,"Killeen vs Temple TX: What $350K Buys You in 2026 (Side-by-Side Tour)",killeen-vs-temple-350k,Property Tours,Military,youtube,video,,"yt-videos/video-schema/350k killeen vs temple/",REFRESH_DUE,2026-02-03,2026-02-03,2026-07-01,2026-07-13,/temple-vs-killeen/,30qMJW6SRBw,Fort Hood PCS Housing Guide,PCS,"Older price-tour version; superseded by July decision-pillar rebuild and retained as supporting content",comparison,
LIT-009,"Homeowners Insurance Trap Get Real Quotes",insurance-trap,Lifestyle,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,,2026-04-12,,,,,education,
LIT-010,"Living in Temple TX The Unfiltered Guide Cost of Living Pros Cons Tour",unfiltered-guide-temple,Relocation,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,2026-07-01,2026-04-12,/cost-of-living-temple-tx/,,Relocation Guide,TEMPLE,,relocation,
LIT-011,"Bought for 70k Worth 150k Temple TX Mid-Term Rental Rehab Tour",70k-mtr-rehab-tour,Market Data,Investor,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,,2026-04-12,,,,DEALS,,deal-breakdown,
LIT-012,"Major Buyer Mistake Dont Buy a Car Before Closing",car-before-closing,Lifestyle,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,,2026-04-12,,,,,education,
LIT-013,"NEVER Skip Home Inspection Save Thousands",home-inspection,Lifestyle,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,,2026-04-12,,,,,education,
LIT-014,"Before You Buy in Temple Texas Watch This",before-you-buy-temple,Relocation,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,2026-07-01,2026-04-12,,,Relocation Guide,TEMPLE,,relocation,
LIT-015,"Austin vs Temple Where the REAL Cash Flow Is",austin-vs-temple-cashflow,Market Data,Investor,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,,2026-04-12,,,,DEALS,,geo-arbitrage,
LIT-016,"Whats Really Happening to Temple TX Home Prices Jan 2026",jan-2026-market-update,Market Data,General,youtube,video,,data/living-in-temple-catalog.txt,REFRESH_DUE,2026-01-01,2026-01-01,2026-05-01,2026-04-12,/investing/temple-tx-market-report/,,,,,market-update,
LIT-017,"Should You Move to Temple Texas The Honest Truth About Cost Crime Boredom",honest-truth-temple,Relocation,General,youtube,video,,data/living-in-temple-catalog.txt,PUBLISHED,2026-01-01,2026-01-01,2026-07-01,2026-04-12,/cost-of-living-temple-tx/,,Relocation Guide,TEMPLE,,relocation,
INV-001,"5 Fatal Mistakes Out-of-State Investors Make in Temple TX",oos-investor-mistakes,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2026-03-04,2026-03-04,2026-09-04,2026-04-12,,,Deal Analyzer,SPREADSHEET,,oos-investing,
INV-002,"Dont Hire a Property Manager in Temple TX Until You Watch This",property-management-guide,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2026-03-03,2026-03-03,2026-09-03,2026-04-12,/investing/property-management-guide/,,Deal Analyzer,SPREADSHEET,,oos-investing,
INV-003,"Out-of-State Investors Complete Remote Buying Strategy Part 2",oos-remote-buying-pt2,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2026-02-25,2026-02-25,2026-08-25,2026-04-12,/investing/out-of-state-investor-execution-playbook/,,Deal Analyzer,SPREADSHEET,,oos-investing,
INV-004,"Investing in Temple TX from Out of State Why This Market Part 1",oos-why-temple-pt1,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2026-02-18,2026-02-18,2026-08-18,2026-04-12,/investing/out-of-state-investor-execution-playbook/,,Deal Analyzer,SPREADSHEET,,oos-investing,
INV-005,"Stop Buying in Austin Invest in Temple TX for Cash Flow",stop-buying-austin,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2026-01-07,2026-01-07,,2026-04-12,,,,DEALS,,geo-arbitrage,
INV-006,"Your Ultimate Guide to Flipping Houses in Temple TX 2026",flipping-guide-2026,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2026-01-02,2026-01-02,,2026-04-12,,,,SPREADSHEET,,flipping,
INV-007,"Buying a House for 75k Full BRRRR Breakdown Temple TX",75k-brrrr-breakdown,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-12-27,2025-12-27,,2026-04-12,,,,SPREADSHEET,,brrrr,
INV-008,"Finding Deals on the MLS That Others Miss",finding-mls-deals,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-12-24,2025-12-24,,2026-04-12,,,,DEALS,,deal-finding,
INV-009,"45k Instant Equity Temple TX Pre-Foreclosure Tour",pre-foreclosure-tour,Property Tours,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-12-16,2025-12-16,,2026-04-12,,,,DEALS,,deal-breakdown,
INV-010,"Are Foreclosure Auctions REALLY a Good Deal in Temple TX",foreclosure-auctions,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-12-12,2025-12-12,,2026-04-12,,,,SPREADSHEET,,foreclosures,
INV-011,"Temple TX Rental Property Under 100K Investor Deal Breakdown",under-100k-rental,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-12-12,2025-12-12,,2026-04-12,,,,DEALS,,deal-breakdown,
INV-012,"I Analyzed Both Markets Temple or Killeen",temple-vs-killeen-investing,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-12-05,2025-12-05,,2026-04-12,,,,DEALS,,comparison,
INV-013,"Temple TX Under 100K Zoned 2-Family New Slab High ROI",under-100k-2family,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-12-02,2025-12-02,,2026-04-12,,,,DEALS,,deal-breakdown,
INV-014,"Investor Alert Temple TX Property Dual-Use Potential 225K",dual-use-225k,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-11-28,2025-11-28,,2026-04-12,,,,DEALS,,deal-breakdown,
INV-015,"Dont Invest in Temple TX Without This Neighborhood Breakdown",investor-neighborhood-breakdown,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-11-25,2025-11-25,,2026-04-12,/best-neighborhoods-temple-tx/,,Deal Analyzer,SPREADSHEET,,neighborhood-investing,
INV-016,"This House Costs Less Than a Car",house-less-than-car,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-11-21,2025-11-21,,2026-04-12,,,,DEALS,,deal-breakdown,
INV-017,"Temple TX Long Term Rental 150K Buy and Hold Strategy",150k-ltr-strategy,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-11-20,2025-11-20,,2026-04-12,/best-areas-long-term-rentals-temple-belton/,,Deal Analyzer,SPREADSHEET,,ltr-strategy,
INV-018,"Massive Flip Opportunity Temple TX 1301 S 13th St FULL Rehab Tour",1301-s-13th-flip,Property Tours,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-11-18,2025-11-18,,2026-04-12,,,,DEALS,,flipping,
INV-019,"Should You Buy This 150K Temple TX Rental Property",150k-rental-analysis,Market Data,Investor,youtube,video,,data/investing-in-temple-catalog.txt,PUBLISHED,2025-11-14,2025-11-14,,2026-04-12,,,,DEALS,,deal-breakdown,
DOTW-001,"Deal of the Week 1 - 1217 S 41st St Temple TX",1217-s-41st-st,Market Data,Investor,multiple,deal_of_week,,output/2026-W13/deal-of-the-week/1217-s-41st-st/,PUBLISHED,2026-03-25,2026-03-25,,2026-04-12,,,,DEALS,,deal-breakdown,
DOTW-001-SHORT,"DOTW1 Short Script - 1217 S 41st St",1217-s-41st-st-short,Market Data,Investor,youtube,short_script,DOTW-001,output/2026-W13/deal-of-the-week/1217-s-41st-st/short-script.md,PUBLISHED,2026-03-25,2026-03-25,,2026-04-12,,,,DEALS,,deal-breakdown,
DOTW-001-SOCIAL,"DOTW1 Social Caption - 1217 S 41st St",1217-s-41st-st-social,Market Data,Investor,social,social_caption,DOTW-001,output/2026-W13/deal-of-the-week/1217-s-41st-st/social-caption.md,PUBLISHED,2026-03-25,2026-03-25,,2026-04-12,,,,DEALS,,deal-breakdown,
DOTW-001-COMMUNITY,"DOTW1 Community Posts - 1217 S 41st St",1217-s-41st-st-community,Market Data,Investor,youtube,community_post,DOTW-001,output/2026-W13/deal-of-the-week/1217-s-41st-st/community-post-suggestions.md,PUBLISHED,2026-03-25,2026-03-25,,2026-04-12,,,,DEALS,,deal-breakdown,
NL-001,"The Temple TX Investor Brief Issue 1",investor-brief-001,Market Data,Investor,newsletter,newsletter,,output/2026-W14/newsletter/temple-tx-investor-brief-001.md,PUBLISHED,2026-03-27,2026-04-02,2026-07-02,2026-04-12,,,Deal Analyzer,SPREADSHEET,,newsletter-investor,
NL-002,"The Temple Insider Issue 1",temple-insider-001,Relocation,General,newsletter,newsletter,,output/2026-W14/newsletter/temple-insider-001.md,PUBLISHED,2026-03-29,2026-03-30,2026-07-01,2026-04-12,,,Relocation Guide,TEMPLE,,newsletter-buyer,
AUDIT-001,"Freshness Scan 2026-03-27",freshness-scan-2026-03-27,Operations,Internal,internal,audit,,output/audits/freshness-scan-2026-03-27.md,PUBLISHED,2026-03-27,2026-03-27,,2026-04-12,,,,,,audit,
SC-001,"Weekly Scorecard 2026-W13",scorecard-w13,Operations,Internal,internal,scorecard,,output/2026-W13/scorecard.md,PUBLISHED,2026-03-28,2026-03-28,,2026-04-12,,,,,,scorecard,
YT-PREP-001,"Alta Vista Neighborhood Tour",alta-vista-tour,Property Tours,General,youtube,video_prep,,yt-videos/alta-vista-tour/,READY_TO_FILM,2026-03-28,,,,/alta-vista/,,Relocation Guide,TOUR,,neighborhood-tour,
YT-PREP-002,"Buy and Hold Spreadsheet Walkthrough",buy-and-hold-spreadsheet,Market Data,Investor,youtube,video_prep,,yt-videos/buy-and-hold-spreadsheet/,SCRIPTED,2026-03-30,,,2026-04-12,,,,SPREADSHEET,,investor-education,
YT-PREP-003,"Physician Loan Temple TX",physician-loan-temple,Relocation,BSW Medical,youtube,video_prep,,yt-videos/physician-loan-temple/,SCRIPTED,2026-03-29,,,2026-04-12,/buy-before-first-day-of-residency-bsw/,,BSW Relocation Guide,BSW,,bsw-content,
YT-PREP-004,"Temple vs Waco Investing",temple-vs-waco-investing,Market Data,Investor,youtube,video_prep,,yt-videos/temple-vs-waco-investing/,SCRIPTED,2026-03-29,,,2026-04-12,/temple-vs-waco/,,Deal Analyzer,SPREADSHEET,,comparison,
YT-PREP-005,"Top 3 Builders Temple TX",top-3-builders-temple,Property Tours,General,youtube,video_prep,,yt-videos/top-3-builders-temple/,RESEARCHING,2026-03-31,,,2026-04-12,,,,TOUR,,builder-content,
YT-PREP-006,"Top 3 Luxury Neighborhoods Temple",top-3-luxury-neighborhoods,Property Tours,Luxury,youtube,video_prep,,yt-videos/top-3-luxury-neighborhoods-temple/,SCRIPTED,2026-03-25,,,2026-04-12,,,Luxury Checklist,LUXURY,,luxury-content,
DOTW-002,"Deal of the Week 2 - 1807 S 11th St Temple TX",1807-s-11th-st,Market Data,Investor,multiple,deal_of_week,,output/2026-W16/deal-of-the-week/1807-s-11th-st/,READY_TO_PUBLISH,2026-04-04,2026-04-17,2026-07-17,2026-04-12,,,,DEALS,,deal-breakdown,
DOTW-002-SHORT,"DOTW2 Short Script - 1807 S 11th St",1807-s-11th-st-short,Market Data,Investor,youtube,short_script,DOTW-002,output/2026-W16/deal-of-the-week/1807-s-11th-st/short-script.md,READY_TO_PUBLISH,2026-04-04,2026-04-17,,2026-04-12,,,,DEALS,,deal-breakdown,
DOTW-002-SOCIAL,"DOTW2 Social Caption - 1807 S 11th St",1807-s-11th-st-social,Market Data,Investor,social,social_caption,DOTW-002,output/2026-W16/deal-of-the-week/1807-s-11th-st/social-caption.md,READY_TO_PUBLISH,2026-04-04,2026-04-17,,2026-04-12,,,,DEALS,,deal-breakdown,
DOTW-002-COMMUNITY,"DOTW2 Community Posts - 1807 S 11th St",1807-s-11th-st-community,Market Data,Investor,youtube,community_post,DOTW-002,output/2026-W16/deal-of-the-week/1807-s-11th-st/community-post-suggestions.md,READY_TO_PUBLISH,2026-04-04,2026-04-17,,2026-04-12,,,,DEALS,,deal-breakdown,
